Fund Name,Expense Category,Org Description,Object Description,Original Budget,Revised Budget,Fiscal Year,ID
Wastewater Fund,Salaries/Benefit Exp,WW Collection Maintenance,Salaries Overtime,32161,32161,2016,2016-5213-520-80950-00000000-SCMTM   -5014-
Wastewater Fund,Salaries/Benefit Exp,WW General Plant Operations,Benefits Group Life Insurance,1474,1474,2016,2016-5213-520-80960-00000000-SGOPX   -5056-
General Fund,Purchased Services,Genl Fd PARD Administration,Advertising Recruiting,5625,5625,2016,2016-1001-530-81100-00000000-00000000-5541
General Fund,Prof Svcs Exp,Genl Fd Traffic Engineering,Prof Svcs Engineer/Survey,25000,25000,2016,2016-1001-440-80710-00000000-00000000-5303
Utility Customer Service Fund,Salaries/Benefit Exp,UCS Fd Meter Svcs,Salaries Overtime,11011,11011,2016,2016-2226-300-80270-00000000-00000000-5014
Wastewater Fund,Salaries/Benefit Exp,WW Collection Maintenance,Salaries Cell Allowance,840,840,2016,2016-5213-520-80950-00000000-SCMTM   -5021-
General Govt Projects Fund,Capital Outlay,Gen Govt CIP Fd Non Dept CIP,Cap Outlay Bldg Construction,7320000,7320000,2016,2016-4137-910-89971-00000000-00000000-6411
General Fund,Purchased Services,Genl Fd Aquatics Admin,Training Outside,6462,6462,2016,2016-1001-530-81125-AQ730   -00000000-5551
General Fund,Supplies Exp,Genl Fd Neighborhood Services,Supplies Computer Hdw/Sftw/Oth,500,500,2016,2016-1001-100-80151-00000000-00000000-5112
General Fund,Salaries/Benefit Exp,Genl Fd Develop Svcs Bldg,Benefits Gym Membership,241,241,2016,2016-1001-430-80520-00000000-00000000-5060
General Fund,Prof Svcs Exp,Genl Fd Civil Engineering,Prof Svcs Inspections/Licenses,50000,50000,2016,2016-1001-430-80510-00000000-00000000-5314-
General Fund,Maintenance Exp,Genl Fd City Secretary,Maint Office Equip/Furn,185,185,2016,2016-1001-100-80110-00000000-00000000-5200
General Fund,Utilities Exp,Genl Fd Lincoln Center,Utilities Wastewater,200,200,2016,2016-1001-530-81125-CT850   -00000000-5403
Community Park Zone C Fund,G&A Transfer Out,Com Pk Zone C Non Dept Exp,G&A Transfer Out General Fd,636,636,2016,2016-4162-910-89100-00000000-00000000-6310
Fleet Maintenance Fund,Replacements Exp,Fleet Fd Admin,Replacement Copiers,1861,1861,2016,2016-2227-440-80791-00000000-00000000-5603
General Fund,Utilities Exp,Genl Fd Streets Maintenance,Utilities Water,10158,10158,2016,2016-1001-440-80740-00000000-00000000-5402
General Fund,Salaries/Benefit Exp,Genl Fd Swim Lessons,Salaries Overtime,1508,1508,2016,2016-1001-530-81125-AQ736   -00000000-5014
General Fund,Salaries/Benefit Exp,Genl Fd Challenger Sports,Benefits Unemployment Comp Ins,1,1,2016,2016-1001-530-81125-SP759   -00000000-5058
General Fund,Purchased Services,Genl Fd Traffic Engineering,Advertising Legal Notices,200,200,2016,2016-1001-440-80710-00000000-00000000-5540
General Fund,Salaries/Benefit Exp,Genl Fd Network Services,Salaries Full Time Labor,188889,202491,2016,2016-1001-600-81260-00000000-00000000-5011
Drainage Utility Fund,Prof Svcs Exp,Drainage Fd Maintenance,Prof Svcs Pre Employment Costs,1050,1050,2016,2016-3912-440-80796-00000000-00000000-5307
Wastewater Fund,Salaries/Benefit Exp,WW General Plant Operations,Benefits Car Allowance,3610,3610,2016,2016-5213-520-80960-00000000-SGOPX   -5061-
General Fund,Salaries/Benefit Exp,Genl Fd Operations Admin,Benefits Group Life Insurance,584,584,2016,2016-1001-530-81140-00000000-00000000-5056
General Fund,Supplies Exp,Genl Fd Jail,Supplies Clothing/Uniforms,1057,1057,2016,2016-1001-410-80355-00000000-00000000-5120-
General Fund,Misc Operating Exp,Genl Fd Lincoln Center,Misc Memberships,360,360,2016,2016-1001-530-81125-CT850   -00000000-5930
Electric Fund,Supplies Exp,Elec Eng Ofc Supp/Other,Supplies Office Supplies,3911,3911,2016,2016-5211-500-80850-00000000-921     -5101
Electric Fund,Purchased Services,Elec Adm Street Lighting,Rent/Lease Building/Structure,4000,4000,2016,2016-5211-500-80810-00000000-585     -5501-
General Fund,Salaries/Benefit Exp,Genl Fd City Secretary,Benefits Group Life Insurance,740,740,2016,2016-1001-100-80110-00000000-00000000-5056
Wastewater Fund,Replacements Exp,WW General Plant Maintenace,Replacement Virtual Servers,3402,3402,2016,2016-5213-520-80950-00000000-SGMTM   -5601-
Debt Service Fund,Debt Expense,Debt Svc Fd GO2013,Debt Principal Pmts GOB,280000,280000,2016,2016-1151-910-89210-GO2013  -00000000-6633-
General Fund,Salaries/Benefit Exp,Genl Fd Tourism Special Events,Benefits Educational Reimburse,2000,2000,2016,2016-1001-530-81121-00000000-00000000-5059
Water Fund,Salaries/Benefit Exp,Water Distribution Operations,Salaries Cell Allowance,600,600,2016,2016-5212-510-80910-00000000-WDISX   -5021-
General Fund,Prof Svcs Exp,Genl Fd Human Resources,Prof Svcs Pre Employment Costs,150,150,2016,2016-1001-100-80160-00000000-00000000-5307
General Fund,Purchased Services,Genl Fd Mayor & Council,Travel Lodging/Transport/Other,5107,5107,2016,2016-1001-100-80100-00000000-00000000-5570
General Fund,Indirect Exp,Genl Fd Challenger Sports,Recreation Indirect Admin,4993,4993,2016,2016-1001-530-81125-SP759   -00000000-5800
General Fund,Indirect Exp,Genl Fd Challenger Sports,Recreation Indirect Prog Exp,6211,6211,2016,2016-1001-530-81125-SP759   -00000000-5830
General Fund,Supplies Exp,Genl Fd Tennis Instruction,Supplies Promotional,50,50,2016,2016-1001-530-81125-SP760   -00000000-5115
General Fund,Maintenance Exp,Genl Fd Adamson Lagoon,Maint Office Equip/Furn,840,840,2016,2016-1001-530-81125-AQ733   -00000000-5200
General Fund,Indirect Exp,Genl Fd Challenger Sports,Recreation Indirect Field Cost,700,700,2016,2016-1001-530-81125-SP759   -00000000-5820
General Fund,Prof Svcs Exp,Genl Fd Emergency Medical Svcs,Prof Svcs Medical,14950,14950,2016,2016-1001-420-80440-00000000-00000000-5305
General Fund,Utilities Exp,Genl Fd Account/Treasury Oper,Utilities Local Phone,832,832,2016,2016-1001-300-80210-00000000-00000000-5404
General Fund,Maintenance Exp,Genl Fd Fire Administration,Maint Office Equip/Furn,642,642,2016,2016-1001-420-80400-00000000-00000000-5200
General Fund,Salaries/Benefit Exp,Genl Fd Neighborhood Services,Benefits Workers Comp Ins,60,60,2016,2016-1001-100-80151-00000000-00000000-5057
General Fund,Purchased Services,Genl Fd Operations East Dist,Insurance Premiums,6306,6306,2016,2016-1001-530-81141-00000000-00000000-5520
General Fund,Supplies Exp,Genl Fd Information Services,Supplies Minor Equip/Tools,857,857,2016,2016-1001-410-80370-00000000-00000000-5102
General Fund,Utilities Exp,Genl Fd Emergency Medical Svcs,Utilities Electric,59073,59073,2016,2016-1001-420-80440-00000000-00000000-5400
General Fund,Purchased Services,Genl Fd Communication Services,Training Outside,10999,10999,2016,2016-1001-600-81270-00000000-00000000-5551
General Fund,Salaries/Benefit Exp,Genl Fd Human Resources,Benefits Workers Comp Ins,438,438,2016,2016-1001-100-80160-00000000-00000000-5057
General Fund,Supplies Exp,Genl Fd IT Administration,Supplies Office Supplies,2845,2845,2016,2016-1001-600-81200-00000000-00000000-5101
General Fund,Salaries/Benefit Exp,Genl Fd PARD Administration,Benefits Car Allowance,6017,6017,2016,2016-1001-530-81100-00000000-00000000-5061
General Fund,Salaries/Benefit Exp,Genl Fd Account/Treasury Oper,Benefits Group Life Insurance,881,881,2016,2016-1001-300-80210-00000000-00000000-5056
General Fund,Purchased Services,Genl Fd Aquatics Admin,Travel Lodging/Transport/Other,1290,1290,2016,2016-1001-530-81125-AQ730   -00000000-5570
General Fund,Salaries/Benefit Exp,Genl Fd Capital Projects Oper,Benefits Car Allowance,3610,3610,2016,2016-1001-440-80730-00000000-00000000-5061
Property & Casualty Ins Fund,Non-Dept Ins Legal,P&C Ins Fd Non Dept Exp,Insure Defense Costs,225000,225000,2016,2016-2221-910-89100-00000000-00000000-6125
General Fund,Salaries/Benefit Exp,Genl Fd Facilities Management,Salaries Standby,6001,6001,2016,2016-1001-440-80720-00000000-00000000-5016
General Fund,Maintenance Exp,Genl Fd Recreation Admin,Maint Office Equip/Furn,200,200,2016,2016-1001-530-81110-00000000-00000000-5200
Electric Fund,Salaries/Benefit Exp,Elec Com Reliab/Plan/Stand Dev,Benefits Group Life Insurance,451,451,2016,2016-5211-500-80840-00000000-561.5   -5056
General Fund,Salaries/Benefit Exp,Genl Fd Adult Softball,Salaries Temp/Seasonal/PTNB,30166,30166,2016,2016-1001-530-81125-SP752   -00000000-5013
Utility Customer Service Fund,Contingency,UCS Fd Non Dept Exp,Contingency,30000,7352,2016,2016-2226-910-89100-00000000-00000000-6990
General Fund,Salaries/Benefit Exp,Genl Fd Capital Projects Oper,Salaries Cell Allowance,1080,1080,2016,2016-1001-440-80730-00000000-00000000-5021
General Fund,Misc Operating Exp,Genl Fd Traffic Engineering,Misc Subscriptions,325,325,2016,2016-1001-440-80710-00000000-00000000-5935
General Fund,Salaries/Benefit Exp,Genl Fd Facilities Management,Salaries Cell Allowance,480,480,2016,2016-1001-440-80720-00000000-00000000-5021
General Fund,Salaries/Benefit Exp,Genl Fd Communications,Benefits Gym Membership,724,724,2016,2016-1001-410-80350-00000000-00000000-5060
General Fund,Supplies Exp,Genl Fd Thomas Pool,Supplies Minor Equip/Tools,920,920,2016,2016-1001-530-81125-AQ732   -00000000-5102
General Fund,Salaries/Benefit Exp,Genl Fd Information Services,Benefits Retirement,43285,43429,2016,2016-1001-410-80370-00000000-00000000-5051
General Fund,Supplies Exp,Genl Fd Operations Admin,Supplies Goodwill,320,320,2016,2016-1001-530-81140-00000000-00000000-5116
General Fund,Salaries/Benefit Exp,Genl Fd Internal Auditor,Benefits Group Health Ins,16755,16755,2016,2016-1001-100-80120-00000000-00000000-5055
General Fund,Maintenance Exp,Genl Fd Library,Maint Office Equip/Furn,150,150,2016,2016-1001-530-81190-00000000-00000000-5200
General Fund,Supplies Exp,Genl Fd Youth Flag Football,Supplies Goodwill,158,158,2016,2016-1001-530-81125-SP755   -00000000-5116
Wastewater Fund,Utilities Exp,WW General Plant Operations,Utilities Electric,35000,35000,2016,2016-5213-520-80950-00000000-SGOPX   -5400-
General Fund,Supplies Exp,Genl Fd Southwood Pool,Supplies Food & Beverages,725,725,2016,2016-1001-530-81125-AQ731   -00000000-5114
General Fund,Supplies Exp,Genl Fd Operations West Dist,Supplies Chemicals/Pesticides,3226,3226,2016,2016-1001-530-81143-00000000-00000000-5108
General Fund,Salaries/Benefit Exp,Genl Fd Operations South Dist,Benefits Workers Comp Ins,6177,6177,2016,2016-1001-530-81142-00000000-00000000-5057
General Fund,Salaries/Benefit Exp,Genl Fd Tourism Athletics,Salaries Overtime,25979,25979,2016,2016-1001-530-81122-00000000-00000000-5014
General Fund,Prof Svcs Exp,Genl Fd P&DS Administration,Prof Svcs Engineer/Survey,6222,6222,2016,2016-1001-430-80500-00000000-00000000-5303
General Fund,Supplies Exp,Genl Fd Thomas Pool,Supplies Awards,309,309,2016,2016-1001-530-81125-AQ732   -00000000-5121
Debt Service Fund,Debt Expense,Debt Svc Fd GO2010,Debt Interest Pmts GOB,480006,480006,2016,2016-1151-910-89210-GO2010  -00000000-6643
General Fund,Purchased Services,Genl Fd Swim Team,Rent/Lease Miscellaneous,325,325,2016,2016-1001-530-81125-AQ738   -00000000-5509
Water Fund,Supplies Exp,Water General Operations,Supplies Medical,152,152,2016,2016-5212-510-80910-00000000-WGENX   -5111-
General Fund,Maintenance Exp,Genl Fd Jail,Maint Miscellaneous,267,267,2016,2016-1001-410-80355-00000000-00000000-5299-
Hotel Tax Fund,Public Agency,Hotel Tax Fd Non Dept Exp,Nonoper Exp Contributions,2810755,2810755,2016,2016-3121-910-89100-00000000-00000000-6720
Wastewater Fund,Salaries/Benefit Exp,WW Pumping Treat Disp Maint,Benefits Retirement,16177,16177,2016,2016-5213-520-80960-00000000-STRTM   -5051-
General Fund,Salaries/Benefit Exp,Genl Fd Aquatics Admin,Benefits Group Health Ins,10880,10880,2016,2016-1001-530-81125-AQ730   -00000000-5055
Electric Fund,Salaries/Benefit Exp,Elec EM Supervision,Benefits Gym Membership,121,121,2016,2016-5211-500-80860-00000000-907     -5060-
Juvenile Case Manager Fee Fund,Salaries/Benefit Exp,Juv Mgr Fd Operations,Benefits FICA,5321,5321,2016,2016-3009-300-80240-00000000-00000000-5050
Electric Fund,Salaries/Benefit Exp,Elec Sub Meter Expense,Benefits Unemployment Comp Ins,170,170,2016,2016-5211-500-80820-00000000-586     -5058
General Fund,Supplies Exp,Genl Fd Tennis Instruction,Supplies Goodwill,100,100,2016,2016-1001-530-81125-SP760   -00000000-5116
General Fund,Salaries/Benefit Exp,Genl Fd Public Communications,Benefits Workers Comp Ins,461,461,2016,2016-1001-100-80150-00000000-00000000-5057
Neighborhood Park Zone 7 Fund,G&A Transfer Out,Neigh Pk Zone 7 Non Dept Exp,G&A Transfer Out General Fd,1569,1569,2016,2016-4177-910-89100-00000000-00000000-6310
Electric Fund,Salaries/Benefit Exp,Elec EM Supervision,Benefits Workers Comp Ins,264,264,2016,2016-5211-500-80860-00000000-907     -5057-
General Fund,Replacements Exp,Genl Fd Public Works Admin,Replacement UPS,718,718,2016,2016-1001-440-80700-00000000-00000000-5605
General Fund,Purchased Services,Genl Fd Traffic Engineering,Training Inhouse,500,500,2016,2016-1001-440-80710-00000000-00000000-5552
General Fund,Supplies Exp,Genl Fd Operations Admin,Supplies Minor Equip/Tools,10240,10240,2016,2016-1001-530-81140-00000000-00000000-5102
General Fund,Purchased Services,Genl Fd Facilities Management,Training Outside,2000,2000,2016,2016-1001-440-80720-00000000-00000000-5551
General Fund,Supplies Exp,Genl Fd Technology Services,Supplies Veh/Equip Fuel & Oil,2060,2060,2016,2016-1001-600-81240-00000000-00000000-5104
General Fund,Supplies Exp,Genl Fd Lincoln Center,Supplies Awards,230,230,2016,2016-1001-530-81125-CT850   -00000000-5121
General Fund,Salaries/Benefit Exp,Genl Fd Fire Training,Salaries Cell Allowance,1080,1080,2016,2016-1001-420-80450-00000000-00000000-5021-
General Fund,Salaries/Benefit Exp,Genl Fd Public Communications,Salaries Cell Allowance,1800,1800,2016,2016-1001-100-80150-00000000-00000000-5021
Court Technology Fee Fund,Supplies Exp,Court Tech Fd Operations,Supplies Office Supplies,5500,5500,2016,2016-3005-300-80240-00000000-00000000-5101
General Fund,Salaries/Benefit Exp,Genl Fd Streets Maintenance,Benefits Group Life Insurance,1735,1735,2016,2016-1001-440-80740-00000000-00000000-5056
Water Fund,Supplies Exp,Water General Operations,Supplies Clothing/Uniforms,8816,8816,2016,2016-5212-510-80910-00000000-WGENX   -5120-
General Fund,Utilities Exp,Genl Fd Lincoln Center,Utilities Natural Gas,3952,3952,2016,2016-1001-530-81125-CT850   -00000000-5401
General Fund,Misc Operating Exp,Genl Fd City Secretary,Misc Memberships,730,730,2016,2016-1001-100-80110-00000000-00000000-5930
Drainage Utility Fund,Salaries/Benefit Exp,Drainage Fd Maintenance,Benefits Retirement,69142,69142,2016,2016-3912-440-80796-00000000-00000000-5051
General Fund,Salaries/Benefit Exp,Genl Fd Support Services,Salaries Overtime,10290,10290,2016,2016-1001-410-80340-00000000-00000000-5014
Wastewater Fund,Salaries/Benefit Exp,WW Pumping Treat Disp Oper,Benefits Unemployment Comp Ins,135,135,2016,2016-5213-520-80960-00000000-STRTX   -5058-
General Fund,Misc Operating Exp,Genl Fd Purchasing,Misc Memberships,570,570,2016,2016-1001-300-80220-00000000-00000000-5930
General Fund,Salaries/Benefit Exp,Genl Fd Community Svcs Admin,Benefits Car Allowance,6017,6017,2016,2016-1001-450-80600-00000000-00000000-5061
General Fund,Salaries/Benefit Exp,Genl Fd Public Works Admin,Benefits Group Life Insurance,991,991,2016,2016-1001-440-80700-00000000-00000000-5056
General Fund,Salaries/Benefit Exp,Genl Fd Xtra Education,Benefits Unemployment Comp Ins,23,23,2016,2016-1001-530-81125-XT794   -00000000-5058
General Fund,Misc Operating Exp,Genl Fd Business Services,Misc Subscriptions,100,100,2016,2016-1001-600-81250-00000000-00000000-5935
General Fund,Prof Svcs Exp,Genl Fd Streets Maintenance,Prof Svcs Contract Labor,2584000,2584000,2016,2016-1001-440-80740-00000000-00000000-5315
Electric Fund,Salaries/Benefit Exp,Elec Eng Oper Super & Engineer,Benefits Retirement,44841,44841,2016,2016-5211-500-80850-00000000-580     -5051-
General Fund,Salaries/Benefit Exp,Genl Fd Uniform Patrol,Salaries Language Pay,1109,1109,2016,2016-1001-410-80310-00000000-00000000-5018
Water Fund,Salaries/Benefit Exp,Water Pumping/Treatment Oper,Benefits FICA,3261,3261,2016,2016-5212-510-80900-00000000-WPMPX   -5050-
General Fund,Purchased Services,Genl Fd Comm & Nhood GIS,Insurance Premiums,360,360,2016,2016-1001-430-80542-00000000-00000000-5520
General Fund,Supplies Exp,Genl Fd Southwood Pool,Supplies Minor Equip/Tools,3300,3300,2016,2016-1001-530-81125-AQ731   -00000000-5102
General Fund,Misc Operating Exp,Genl Fd Communications,Misc Memberships,386,386,2016,2016-1001-410-80350-00000000-00000000-5930
Electric Fund,Salaries/Benefit Exp,Elec Trans Mnt Undergrd Line,Benefits Retirement,34657,34657,2016,2016-5211-500-80871-00000000-584     -5051-
General Fund,Prof Svcs Exp,Genl Fd Municipal Court,Prof Svcs Security,2180,2180,2016,2016-1001-300-80240-00000000-00000000-5319
Electric Fund,Salaries/Benefit Exp,Elec Adm Adm/Gen Salaries,Benefits Workers Comp Ins,1068,1068,2016,2016-5211-500-80810-00000000-920     -5057
General Fund,Maintenance Exp,Genl Fd Traffic Signs/Markings,Maint Machinery/Tools,1000,1000,2016,2016-1001-440-80750-00000000-00000000-5204
Water Fund,Salaries/Benefit Exp,Water General Operations,Benefits Unemployment Comp Ins,40,40,2016,2016-5212-510-80900-00000000-WGENX   -5058-
General Fund,Prof Svcs Exp,Genl Fd Lincoln Center,Prof Svcs Janitorial,22232,22232,2016,2016-1001-530-81125-CT850   -00000000-5309-
General Fund,Prof Svcs Exp,Genl Fd Adamson Lagoon,Prof Svcs Pre Employment Costs,783,783,2016,2016-1001-530-81125-AQ733   -00000000-5307
Debt Service Fund,Debt Expense,Debt Svc Fd GO2013R,Debt Principal Pmts GOB,385000,385000,2016,2016-1151-910-89210-GO2013R -00000000-6633
Water Fund,Maintenance Exp,Water General Maintenance,Maint Grounds,3796,3796,2016,2016-5212-510-80910-00000000-WGENM   -5212-
Court Technology Fee Fund,Utilities Exp,Court Tech Fd Operations,Utilities Mobile Phone,912,912,2016,2016-3005-300-80240-00000000-00000000-5406
Electric Fund,Salaries/Benefit Exp,Elec T&D Overhead Line,Benefits Unemployment Comp Ins,155,155,2016,2016-5211-500-80870-00000000-583     -5058-
General Fund,Salaries/Benefit Exp,Genl Fd Civil Engineering,Benefits Workers Comp Ins,1506,1506,2016,2016-1001-430-80510-00000000-00000000-5057
General Fund,Utilities Exp,Genl Fd Operations Admin,Utilities Electric,313718,313718,2016,2016-1001-530-81140-00000000-00000000-5400
General Fund,Purchased Services,Genl Fd PARD Administration,Insurance Premiums,5418,5418,2016,2016-1001-530-81100-00000000-00000000-5520
Electric Fund,G&A Transfer Out,Electric Fd Non Dept Exp,Interdept Exp Utility Billing,1084184,0,2016,2016-5211-910-89100-00000000-00000000-6010
General Fund,Salaries/Benefit Exp,Genl Fd Fire Prevention,Benefits Workers Comp Ins,7680,7680,2016,2016-1001-420-80430-00000000-00000000-5057
General Fund,Salaries/Benefit Exp,Genl Fd Capital Projects Oper,Benefits Unemployment Comp Ins,360,360,2016,2016-1001-440-80730-00000000-00000000-5058
General Fund,Purchased Services,Genl Fd Traffic Signs/Markings,Training Outside,2925,2925,2016,2016-1001-440-80750-00000000-00000000-5551
General Fund,Salaries/Benefit Exp,Genl Fd Code Enforcement,Benefits Retirement,21917,21917,2016,2016-1001-450-80610-00000000-00000000-5051
Electric Fund,Salaries/Benefit Exp,Elec T&D Mnt Dist Overhead,Benefits Retirement,36481,36481,2016,2016-5211-500-80870-00000000-593     -5051-
General Fund,Supplies Exp,Genl Fd Information Services,Supplies Office Furniture,383,383,2016,2016-1001-410-80370-00000000-00000000-5103
General Fund,Purchased Services,Genl Fd Purchasing,Training Inhouse,500,500,2016,2016-1001-300-80220-00000000-00000000-5552
General Fund,Prof Svcs Exp,Genl Fd Adult Volleyball,Prof Svcs Contract Labor,6255,6255,2016,2016-1001-530-81125-SP753   -00000000-5315
Northgate Parking Fund,Salaries/Benefit Exp,NG Pkg Fd Parking Oper,Benefits Group Life Insurance,561,561,2016,2016-5202-450-80621-00000000-00000000-5056
General Fund,Salaries/Benefit Exp,Genl Fd IT Administration,Benefits Retirement,35126,35126,2016,2016-1001-600-81200-00000000-00000000-5051
Electric Fund,Salaries/Benefit Exp,Elec Sub Meter/Superintendent,Salaries Full Time Labor,106864,106864,2016,2016-5211-500-80820-00000000-560     -5011-
General Fund,Utilities Exp,Genl Fd Fire Prevention,Utilities Mobile Phone,2556,2556,2016,2016-1001-420-80430-00000000-00000000-5406
Electric Fund,Supplies Exp,Elec Com Safety & Related Exp,Supplies Medical,50,50,2016,2016-5211-500-80840-00000000-925     -5111
General Fund,Supplies Exp,Genl Fd Develop Svcs Bldg,Supplies Awards,124,124,2016,2016-1001-430-80520-00000000-00000000-5121
General Fund,Utilities Exp,Genl Fd Tourism Special Events,Utilities Local Phone,443,443,2016,2016-1001-530-81121-00000000-00000000-5404
General Fund,Salaries/Benefit Exp,Genl Fd Comm & Nhood GIS,Benefits Group Health Ins,8347,8347,2016,2016-1001-430-80542-00000000-00000000-5055
General Fund,Salaries/Benefit Exp,Genl Fd Traffic Engineering,Benefits Unemployment Comp Ins,120,120,2016,2016-1001-440-80710-00000000-00000000-5058
Electric Fund,Purchased Services,Elec Dis Safety,Travel Lodging/Transport/Other,17700,17700,2016,2016-5211-500-80830-00000000-925     -5570-
Electric Fund,Salaries/Benefit Exp,Elec Dis Load Dispatching Dist,Benefits FICA,18621,18621,2016,2016-5211-500-80830-00000000-581     -5050
General Fund,Utilities Exp,Genl Fd Facilities Management,Utilities Local Phone,5588,5588,2016,2016-1001-440-80720-00000000-00000000-5404
Fleet Maintenance Fund,Salaries/Benefit Exp,Fleet Fd Admin,Salaries Standby,7785,7785,2016,2016-2227-440-80791-00000000-00000000-5016
General Fund,Purchased Services,Genl Fd PARD Administration,Training Outside,3609,3609,2016,2016-1001-530-81100-00000000-00000000-5551
General Fund,Salaries/Benefit Exp,Genl Fd SW Center   Teen,Salaries Full Time Labor,31301,31301,2016,2016-1001-530-81125-CT840   -00000000-5011
Water Fund,Utilities Exp,Water General Operations,Utilities Local Phone,731,731,2016,2016-5212-510-80900-00000000-WGENX   -5404-
Water Fund,Salaries/Benefit Exp,Water Distribution Maintenance,Benefits Gym Membership,362,362,2016,2016-5212-510-80910-00000000-WDISM   -5060-
General Fund,Salaries/Benefit Exp,Genl Fd Youth Basketball,Salaries Overtime,302,302,2016,2016-1001-530-81125-SP754   -00000000-5014
General Fund,Replacements Exp,Genl Fd Facilities Management,Replacement Fleet,28425,28425,2016,2016-1001-440-80720-00000000-00000000-5600
Wastewater Fund,Prof Svcs Exp,WW General Plant Operations,Prof Svcs Legal,10100,10100,2016,2016-5213-520-80950-00000000-SGOPX   -5300-
Water Fund,Misc Operating Exp,Water General Operations,Misc Subscriptions,404,404,2016,2016-5212-510-80900-00000000-WGENX   -5935-
General Fund,Supplies Exp,Genl Fd Streets Maintenance,Supplies Veh/Equip Fuel & Oil,79808,79808,2016,2016-1001-440-80740-00000000-00000000-5104
Electric Fund,Supplies Exp,Elec T&D Mnt Meters,Supplies Workorder Supplies,22327,22327,2016,2016-5211-500-80870-00000000-597     -5100-
General Fund,Utilities Exp,Genl Fd Code Enforcement,Utilities Phone Long Distance,226,226,2016,2016-1001-450-80610-00000000-00000000-5405
Community Development Fund,Utilities Exp,Com Dev Fd Operations,Utilities Phone Long Distance,64,64,2016,2016-3122-450-80630-00000000-00000000-5405
Water Fund,Salaries/Benefit Exp,Water Distribution Operations,Benefits Retirement,53245,53245,2016,2016-5212-510-80910-00000000-WDISX   -5051-
General Fund,Misc Operating Exp,Genl Fd City Manager,Misc Memberships,7500,7500,2016,2016-1001-100-80130-00000000-00000000-5930
General Fund,Misc Operating Exp,Genl Fd Uniform Patrol,Misc Memberships,592,592,2016,2016-1001-410-80310-00000000-00000000-5930
Water Fund,Supplies Exp,Water General Maintenance,Supplies Workorder Supplies,34182,34182,2016,2016-5212-510-80900-00000000-WGENM   -5100-
Neighborhood Park Zone 10 Fund,G&A Transfer Out,Neigh Pk Zone 10 Non Dept Exp,G&A Transfer Out General Fd,1949,1949,2016,2016-4180-910-89100-00000000-00000000-6310
General Fund,Utilities Exp,Genl Fd Library,Utilities Water,4895,4895,2016,2016-1001-530-81190-00000000-00000000-5402
